Source,Target,,
Otongs,AzzahrahSyifa_ ,,
skrrrahh,ekowBoy ,,
Jay03647671,ekowBoy ,,
ridwaaann_,persib ,,
ang_danim,persib ,,
SamsulH347,ThaiFootballs ,,
kecoabusuk666,tribunjabar ,,
iqballuphmira,ThaiFootballs ,,
i_fadh,Gilang_Mahesa ,,
i_fadh,persib ,,
1933PRSB,IndosiarID ,,
1933PRSB,IndosiarSports ,,
tony_alwie,Bolalob ,,
m_iksan51,bonekcasuals ,,
IrvanP_,persib ,,
AdenRuhi,ThaiFootballs ,,
iqbaltrisanda,ThaiFootballs ,,
33_abah,VikingUinJkt ,,
r_sekeda,VikingUinJkt ,,
AwaludinBujang,AzzahrahSyifa_ ,,
AwaludinBujang,persib ,,
sultansabri,AzzahrahSyifa_ ,,
IrvanP_,ekowBoy ,,
AwolJeh,ekowBoy ,,
NewsToday_ID,persib ,,
WisnuSubarkah4,persib ,,
IrvanP_,ThaiFootballs ,,
anisapuryp,tribunjabar ,,
xprdtyx,ThaiFootballs ,,
ahmadmustofa87,Gilang_Mahesa ,,
kodde33,IndosiarID ,,
Wi_m23,Bolalob ,,
dapokankuda,bonekcasuals ,,
dapokankuda,persib ,,
rendydolz,persib ,,
diohanin,ThaiFootballs ,,
KangHavid,ThaiFootballs ,,
dedenotto,VikingUinJkt ,,
rizkyfaidan,VikingUinJkt ,,
Irnawan_1987,AzzahrahSyifa_ ,,
rifkyfuselier,AzzahrahSyifa_ ,,
abdulmujieb,ekowBoy ,,
Rickythekichlik,ekowBoy ,,
inilahdotcom,persib ,,
mundus_ardi,persib ,,
Muh_Indraaaaa,ThaiFootballs ,,
KangHavid,tribunjabar ,,
MNCkoranSINDO,ThaiFootballs ,,
AsepNandangGs,Gilang_Mahesa ,,
AsepNandangGs,persib ,,
cidaunogemaung,IndosiarID ,,
cidaunogemaung,IndosiarSports ,,
Bobotoh_Cikutra,Bolalob ,,
ronichi_19,bonekcasuals ,,
UelahReza,persib ,,
destriapnr,ThaiFootballs ,,
woelannnn,ThaiFootballs ,,
Ekosaputra1Doni,VikingUinJkt ,,
Ahadiprakasa_,VikingUinJkt ,,
dedenotto,AzzahrahSyifa_ ,,
dedenotto,persib ,,
dianrstdi,AzzahrahSyifa_ ,,
destriapnr,ekowBoy ,,
RossoneriBram,ekowBoy ,,
Ammarzakf,persib ,,
AwolJeh,persib ,,
ahmadiedja,ThaiFootballs ,,
rifqirizalni,tribunjabar ,,
tribunjabar,ThaiFootballs ,,
DerLan_15,Gilang_Mahesa ,,
sepatu_Sobekk,IndosiarID ,,
sepatu_Sobekk,IndosiarSports ,,
megafakhrim,Bolalob ,,
iponksatria,bonekcasuals ,,
iponksatria,persib ,,
andreandrian8,persib ,,
haiflie,ThaiFootballs ,,
TukangNyiyir,ThaiFootballs ,,
info_umbulharjo,VikingUinJkt ,,
info_tegalrejo,VikingUinJkt ,,
bolacomID,AzzahrahSyifa_ ,,
bolacomID,persib ,,
RobiGusman2,AzzahrahSyifa_ ,,
DanielNuril,ekowBoy ,,
andreandrian8,ekowBoy ,,
Aindriawandotco,persib ,,
deriripandi11,persib ,,
ArdelinoArip,ThaiFootballs ,,
KangHavid,tribunjabar ,,
sikikorma,ThaiFootballs ,,
Damar98cempor,Gilang_Mahesa ,,
Damar98cempor,persib ,,
maulidanaswani,IndosiarID ,,
maulidanaswani,IndosiarSports ,,
phanzhoel,Bolalob ,,
zamilzn1,bonekcasuals ,,
iradiobdg,persib ,,
GalihAnwarAS,ThaiFootballs ,,
rifqirizalni,ThaiFootballs ,,
AsepSudita,VikingUinJkt ,,
riorpangestu,VikingUinJkt ,,
IniFiann,AzzahrahSyifa_ ,,
IniFiann,persib ,,
ApriBodoo,AzzahrahSyifa_ ,,
Ahadiprakasa_,ekowBoy ,,
tribunjabar,ekowBoy ,,
azharihabib_a,persib ,,
itsme_citRa,persib ,,
rianpurnama095,ThaiFootballs ,,
ginanjar28_,tribunjabar ,,
SidhartaHarris,ThaiFootballs ,,
zamilzn1,Gilang_Mahesa ,,
ucinx_cep,IndosiarID ,,
ucinx_cep,IndosiarSports ,,
zamilzn1,Bolalob ,,
sutoyomi,bonekcasuals ,,
sutoyomi,persib ,,
RifkiAgustiawa1,persib ,,
jono33__,ThaiFootballs ,,
bmmbmm,ThaiFootballs ,,
PanggilRach,VikingUinJkt ,,
RifkiAgustiawa1,VikingUinJkt ,,
mposport,AzzahrahSyifa_ ,,
mposport,persib ,,
dedenotto,AzzahrahSyifa_ ,,
SeptioHrd,ekowBoy ,,
rianpurnama095,ekowBoy ,,
MayaAnggita14,persib ,,
latjumalatpilat,persib ,,
NikiGalihP_,ThaiFootballs ,,
MaungFootball,tribunjabar ,,
rianpurnama095,ThaiFootballs ,,
thaufik16,Gilang_Mahesa ,,
thaufik16,IndosiarID ,,
DevitaNSPoetri_,Bolalob ,,
MR_Rodiiii,bonekcasuals ,,
MR_Rodiiii,persib ,,
LihinWei,persib ,,
DevitaNSPoetri_,ThaiFootballs ,,
DevitaNSPoetri_,ThaiFootballs ,,
DevitaNSPoetri_,VikingUinJkt ,,
dedenotto,VikingUinJkt ,,
DevitaNSPoetri_,AzzahrahSyifa_ ,,
DevitaNSPoetri_,persib ,,
deanbaper,AzzahrahSyifa_ ,,
DevitaNSPoetri_,ekowBoy ,,
dedenotto,ekowBoy ,,
rianpurnama095,persib ,,
MayaAnggita14,persib ,,
MayaAnggita14,ThaiFootballs ,,
andkadty,tribunjabar ,,
Rama_Les,ThaiFootballs ,,
DevitaNSPoetri_,Gilang_Mahesa ,,
DevitaNSPoetri_,persib ,,
Asepyaufik_29,IndosiarID ,,
DevitaNSPoetri_,Bolalob ,,
duafutra25,bonekcasuals ,,
DevitaNSPoetri_,persib ,,
DevitaNSPoetri_,ThaiFootballs ,,
DevitaNSPoetri_,ThaiFootballs ,,
SINDOnews,VikingUinJkt ,,
22rahmatf,VikingUinJkt ,,
